country,region,subregion,population,population growth,area,GDP(PPP) per capita,Gini,Ethnic Fractionalization,Linguistic Fractionalization,Religious Fractionalization,cannabis,cigarettes,alcohol,MF ratio (birth),MF ratio (lt15),MF ratio 15-64,M/F >65,MF in population
Mauritania,Africa,Western Africa,3889880,0.02452,1030700,2096,39.75,0.615,0.326,0.0149,NA,86,0.11,1.03,1.01,0.89,0.74,0.93
Mauritius,Africa,Eastern Africa,1244403,0.00369,2040,15424,39,0.4634,0.4547,0.6385,3.9,787,3.72,1.05,1.03,0.99,0.67,0.97
Mayotte,Africa,Eastern Africa,222152,0.02709,374,NA,NA,0,0.7212,0.062,NA,NA,NA,1.03,1.01,1.16,1.04,1.08
Mexico,Latin America and Caribbean,Central America,122332399,0.0121,1972550,15363,50,0.5418,0.1511,0.1796,1.2,371,8.42,1.05,1.04,0.94,0.82,0.96
Micronesia,Oceania,Micronesia,103549,0.00162,702,7123,NA,0.7005,0.7483,0.6469,NA,NA,5.5,1.05,1.03,0.99,0.74,1
Moldova,Europe,Eastern Europe,3487204,-0.00777,33843,3378,35.5,0.5535,0.5533,0.5603,0.9,2479,18.22,1.06,1.06,0.94,0.58,0.91
Monaco,Europe,Western Europe,37831,0.00785,2,NA,NA,0.6838,0.7305,0.3047,8.9,1038,NA,1.06,1.05,0.98,0.68,0.91
Mongolia,Asia,Eastern Asia,2839073,0.01493,1564116,5314,36.5,0.3682,0.3734,0.0799,NA,555,3.24,1.05,1.04,1,0.77,1
Montenegro,Europe,Southern Europe,621383,0.00048,14026,11610,27.15,NA,NA,NA,0.2,2157,NA,1.072,0.96,1.08,0.68,0.99
Montserrat,Latin America and Caribbean,Caribbean,5091,0.00881,102,NA,NA,NA,NA,NA,NA,NA,NA,1.03,1.08,0.92,1.95,1.01
Morocco,Africa,Northern Africa,33008150,0.01411,446550,5193,40.9,0.4841,0.4683,0.0035,4.2,500,1.46,1.05,1.04,1,0.75,0.99
Mozambique,Africa,Eastern Africa,25833752,0.02473,801590,1155,45.65,0.6932,0.8125,0.6759,NA,200,2.56,1.02,1.01,0.96,0.71,0.97
Myanmar,Asia,South-Eastern Asia,53259018,0.00842,678500,1612,NA,0.5062,0.5072,0.1974,0.9,189,0.57,1.06,1.04,0.99,0.77,0.99
Namibia,Africa,Southern Africa,2303315,0.01869,825418,7800,61.8,0.6329,0.7005,0.6626,3.9,534,9.62,1.03,1.02,1.02,0.81,1.01
Nauru,Oceania,Micronesia,10051,0.00193,21,NA,NA,0.5832,0.6161,0.6194,NA,626,4.83,1.05,1.04,0.97,1.04,1
Nepal,Asia,South-Central Asia,27797457,0.01154,147181,1457,32.8,0.6632,0.7167,0.1417,3.2,420,9.48,1.04,1.04,0.92,0.89,0.96
Netherlands,Europe,Western Europe,16759229,0.00274,41526,41527,30.9,0.1054,0.5143,0.7222,5.4,801,10.05,1.05,1.05,1.02,0.76,0.98
Netherlands Antilles,Latin America and Caribbean,Caribbean,19130,0.02437,NA,NA,NA,0,0.2508,0.3866,NA,NA,NA,1.05,1.05,0.93,0.68,0.93
New Caledonia,Oceania,Melanesia,256496,0.01317,19060,NA,NA,0,0.6633,0.5462,1.9,NA,NA,1.05,1.04,1.01,0.86,1.01
New Zealand,Oceania,Australia/New Zealand,4505761,0.01019,268680,29481,36.2,0.3969,0.1657,0.811,14.6,579,9.62,1.05,1.05,1,0.84,0.99
Nicaragua,Latin America and Caribbean,Central America,6080478,0.01439,129494,4352,40.5,0.4844,0.0473,0.429,1.1,377,5.37,1.05,1.04,1,0.78,1
Niger,Africa,Western Africa,17831270,0.03851,1267000,807,34.3,0.6518,0.6519,0.2013,NA,52,0.34,1.03,1.02,0.99,0.81,1
Nigeria,Africa,Western Africa,173615345,0.0278,923768,2697,46.25,0.8505,0.8316,0.7421,14.3,116,12.28,1.06,1.05,1.04,0.94,1.04
North Korea,Asia,Eastern Asia,24895480,0.00528,120540,NA,NA,0.0392,0.0028,0.4891,NA,650,NA,1.06,1.03,0.98,0.63,0.95
Northern Mariana Islands,Oceania,Micronesia,53855,0.00444,477,NA,NA,0,0.7754,0.4811,22.2,NA,NA,1.06,1.1,0.85,1.08,0.74
Norway,Europe,Northern Europe,5042671,0.01003,323802,54397,25.4,0.0586,0.0673,0.2048,4.6,534,7.81,1.05,1.05,1.03,0.75,0.98
Oman,Asia,Western Asia,3632444,0.07887,212460,28843,NA,0.4373,0.3567,0.4322,0.1,852,0.94,1.05,1.04,1.38,1.32,1.22
Pakistan,Asia,South-Central Asia,182142594,0.01661,803940,3056,30.3,0.7098,0.719,0.3848,3.9,468,0.06,1.05,1.06,1.05,0.88,1.09
Palau,Oceania,Micronesia,20918,0.00786,458,23053,NA,0.4312,0.3157,0.7147,24.2,NA,10.1,1.06,1.06,1.26,0.45,1.14
Panama,Latin America and Caribbean,Central America,3864170,0.01617,78200,15449,51.9,0.5528,0.3873,0.3338,3.6,197,6.85,1.04,1.04,1.02,0.87,1.02
Papua New Guinea,Oceania,Melanesia,7321262,0.02135,462840,2736,50.9,0.2718,0.3526,0.5523,29.5,670,3.49,1.05,1.03,1.06,0.86,1.04
Paraguay,Latin America and Caribbean,South America,6802295,0.017,406750,6053,52.8,0.1689,0.5975,0.2123,1.6,619,7.88,1.05,1.03,1.01,0.86,1.01
Peru,Latin America and Caribbean,South America,30375603,0.01257,1285220,10596,47.05,0.6566,0.3358,0.1988,0.7,137,6.9,1.05,1.04,1.01,0.89,1.01
Philippines,Asia,South-Eastern Asia,98393574,0.01713,300000,4380,43.9,0.2385,0.836,0.3056,0.8,838,6.38,1.05,1.04,1,0.76,1
Poland,Europe,Eastern Europe,38216635,0.00012,312685,20562,34.1,0.1183,0.0468,0.1712,2.7,1586,13.25,1.06,1.06,0.99,0.62,0.94
Portugal,Europe,Southern Europe,10608156,0.00038,92391,23047,38.5,0.0468,0.0198,0.1438,3.3,1114,14.55,1.07,1.09,0.99,0.7,0.95
Puerto Rico,Latin America and Caribbean,Caribbean,3688318,-0.0016,13790,NA,NA,0,0.0352,0.4952,4.9,NA,5.75,1.05,1.05,0.93,0.76,0.92
Qatar,Asia,Western Asia,2168673,0.05904,11437,100889,41.1,0.7456,0.48,0.095,0.1,281,1.25,1.06,1.06,2.46,1.38,2
R_union,Africa,Eastern Africa,875375,0.01162,NA,NA,NA,0,0.1578,0.1952,NA,NA,NA,NA,NA,NA,NA,NA
Romania,Europe,Eastern Europe,21698585,-0.0026,237500,12722,31.6,0.3069,0.1723,0.2373,0.4,1404,15.3,1.06,1.05,0.99,0.69,0.95
Russia,Europe,Eastern Europe,142833689,-0.00213,17075200,17518,40.9,0.2452,0.2485,0.4398,3.5,2786,15.76,1.06,1.05,0.92,0.44,0.86
Rwanda,Africa,Eastern Africa,11776522,0.0274,26338,1441,48.8,0.3238,0,0.5066,NA,94,9.8,1.03,1.01,1,0.66,0.99
Saint Helena,Africa,Western Africa,4129,-0.00574,413,NA,NA,NA,NA,NA,NA,NA,NA,1.05,1.04,1.04,0.9,1.03
